俗话说买的没有卖的精,俗话说买的人不如卖的人精明
那你说什么动物离人最近啊,那你说什么动物离人最近啊
他一句话差点没把我气死,他一句话差点没把我气死
我也不知道,我也不知道
你也不知道,你也不知道
那你问我,那你问我
得,得
我找别人问问去吧,我找别人问问去吧
我的另外一个朋友说了,我的另外一个朋友说了
我媳妇儿离我最近,我媳妇儿离我最近
人是动物的一种,人是动物的一种
我媳妇儿是人的一种,我媳妇儿是人的一种
我说,我说
这个问题中的动物不算人,这个问题中的动物不算人
不算人,不算人
我这朋友又说了,我这朋友又说了
那就应该是我肚中的蛔虫了,那就应该是我肚中的蛔虫了
天天和我在一起,天天和我在一起
一刻不离,一刻不离
我一想,我一想
这对,也不对,这对，也不对
说对吧,说对吧
蛔虫确实是与人一刻不离,蛔虫确实是与人一刻不离
说不对吧,说不对吧
它确实又不独立于人体之外,它确实又不独立于人体之外
我就又问,我就又问
独立于人体之外的动物呢,独立于人体之外的动物呢
我这朋友说,我这朋友说
那大概就是人身上的虱子了,那大概就是人身上的虱子了
虱子,虱子
对,对
想想确实是,想想确实是
可虱子太小了,可虱子太小了
在人身上往往看不见啊,在人身上往往看不见啊
要是平常看不见的也算,要是平常看不见的也算
那人皮肤上的细菌算不算呢,那人皮肤上的细菌算不算呢
我这朋友说了,我这朋友说了
细菌不是动物,细菌不是动物
再说了,再说了
虱子有小猫那么大的,虱子有小猫那么大的
谁说平时看不见,谁说平时看不见
哦,哦
这可把我弄晕了,这可把我弄晕了
怎么可能呢,怎么可能呢
我朋友给我讲了这么个事,我朋友给我讲了这么个事
差点没把我逗死,差点没把我逗死
话说啊,话说啊
有这么一个荒唐国王,有这么一个荒唐国王
他干了许多荒唐事,他干了许多荒唐事
什么亲自做木匠活,什么亲自做木匠活
什么亲自装小贩卖肉,什么亲自装小贩卖肉
什么自封为大将军等等,什么自封为大将军等等
有这么一天,有这么一天
国王觉得身上有点痒,国王觉得身上有点痒
抠来抠去抠出来一个虱子,抠来抠去抠出来一个虱子
按说,按说
你把虱子掐死也就得了,你把虱子掐死也就得了
可他呢,可他呢
端详了半天,端详了半天
我贵为天子,我贵为天子
我身上的虱子那是御虱啊,我身上的虱子那是御虱啊
也应该非同一般啊,也应该非同一般啊
可这虱子怎么跟别人身上的一样呢,可这虱子怎么跟别人身上的一样呢
不对,不对
肯定应该有不一样的地方,肯定应该有不一样的地方
是不是因为它太小,是不是因为它太小
不好查看啊,不好查看啊
要是养大了,要是养大了
肯定能看出来,肯定能看出来
于是传旨,于是传旨
封一个小内侍为饲养官,封一个小内侍为饲养官
把虱子养起来,把虱子养起来
必须把它养到小猫那么大，不然杀头,必须把它养到小猫那么大，不然杀头
又一想,又一想
我贵为天子,我贵为天子
养虱子这事儿要是传出去,养虱子这事儿要是传出去
不成体面,不成体面
严禁饲养官泄漏秘密，不然也杀头,严禁饲养官泄漏秘密，不然也杀头
这倒霉的饲养官这个急啊,这倒霉的饲养官这个急啊
养虱子,养虱子
从没听说过,从没听说过
怎么养,怎么养
再说了,再说了
那虱子再养也不可能养到小猫那么大啊,那虱子再养也不可能养到小猫那么大啊
没办法,没办法
国王下令了,国王下令了
硬着头皮也得养啊,硬着头皮也得养啊
天天给虱子喂血,天天给虱子喂血
可虱子总也不见长,可虱子总也不见长
就这么过了有仨月,就这么过了有仨月
国王亲自查看养虱子的情况,国王亲自查看养虱子的情况
一见虱子没怎么长，大发雷霆,一见虱子没怎么长，大发雷霆
再限你俩月,再限你俩月
虱子要是长不到小猫那么大,虱子要是长不到小猫那么大
把你杀头,把你杀头
剧本大纲,剧本大纲
一个荒唐国王责令臣子饲养虱子,一个荒唐国王责令臣子饲养虱子
要求臣子把虱子养成小猫那么大,要求臣子把虱子养成小猫那么大
臣子养不出来,只好做了个假虱子,臣子养不出来，只好做了个假虱子
国王让人把虱子剥皮,国王让人把虱子剥皮
挂到宫门口,挂到宫门口
让人猜,让人猜
谁猜到,谁猜到
把公主许配给谁,把公主许配给谁
但要猜错了,但要猜错了
杀头,杀头
于是引来多人来猜,于是引来多人来猜
谁也没猜出,谁也没猜出
脑袋都搬了家,脑袋都搬了家
公主问出这皮是虱子皮,公主问出这皮是虱子皮
就去告诉她的爱人,就去告诉她的爱人
一个农村的小伙,一个农村的小伙
谁想,谁想
却被一个猥琐的老头听到,却被一个猥琐的老头听到
老头先一步去猜了皮,老头先一步去猜了皮
小伙后去,小伙后去
撞见国王正要封老头为驸马,撞见国王正要封老头为驸马
急中生智,急中生智
杀了老头,杀了老头
娶了公主,娶了公主
全剧演出约十分钟,全剧演出约十分钟
诙谐幽默,诙谐幽默
耐人寻味,耐人寻味
九曲黄河拐了一道弯，九曲黄河弯了一道
向北拐到土默川，向北流到了土默川
土默川上好风光，土默川风光秀丽
人杰地灵，人杰地灵
灵秀山川，山川灵秀
川拥沃土，川环绕着沃土
土育精英，土养育着精英
英才辈出，英才不断涌现
出产丰富，物产丰富
富裕文明，富裕文明
明媚春光永驻大青山，明媚的春光永远驻留在大青山
青山脚下有个小村庄，青山脚下有个小村庄
村名就叫姚家湾，村子的名字叫姚家湾
姚家湾有处农家院，姚家湾有一处农家院
院里住着个姚老汉，院子里住着一位姚老汉
儿子名叫姚大山，他的儿子名叫姚大山
儿媳名字叫兰兰，儿媳的名字叫兰兰
公公婆婆儿子媳妇一家坐在院中间，公公婆婆儿子和媳妇一家坐在院子中间
欢声笑语家长里短话儿唠不完，欢声笑语中谈论着家长里短说不完的话
儿子为爹捶背又揉腿，儿子为父亲捶背又揉腿
媳妇给婆婆梳头洗脸又把扇子扇，儿媳给婆婆梳头洗脸又扇扇子
看到此景让人心头暖，看到这样的场景让人心头感到温暖
这一对小夫妻，这一对小夫妻
孝老敬老亲老爱老左邻右舍十里八村就把个美名传，孝顺老人尊敬老人亲近老人爱护老人左
邻右舍十里八村都传颂着他们的美名
说到这里各位观众必定很感叹，说到这里各位观众必定会很感叹
竖起拇指要夸大山兰兰是孝老爱亲的好典范，竖起大拇指夸赞姚大山和兰兰是孝顺老人爱护
亲人的典范
各位观众您且慢，各位观众请稍等
今天我要讲的故事刚刚开头还没说完，今天我要讲的故事才刚刚开始还没讲完
话说姚大爷姚大娘就生一个独生子，说起来姚大爷和姚大娘只有一个独生子
为了长命百岁取名就叫姚大山，为了让孩子长命百岁取名叫做姚大山
老来得子娇生惯养百依百顺呵护她，老年得子娇生惯养百依百顺地呵护着他
转眼间，转眼之间
供书识字精心抚养长成二十三，供他读书识字精心抚养长成了二十三岁的青年
姚大娘多方托媒人，姚大娘多方托人做媒
想给儿子尽早把婚完，想尽早为儿子完婚
这一日，这一天
来了个媒婆名叫柳银环，来了个媒婆名字叫柳银环
乐颠儿乐颠儿唱着小曲儿来到姚家湾，高兴地唱着小曲儿来到姚家湾
姚大爷热情相迎尽说客套话，姚大爷热情地迎接尽说客套话
姚大娘端水倒茶问暖又嘘寒，姚大娘端水倒茶嘘寒问暖
哎呦她婶子，哎呀她婶子
乏了吧，累了吧
大大的太阳热坏了吧，大大的太阳晒热了吧
姐来给你扇扇风，我来给你扇扇风
再喝刚刚沏好的龙井茶一碗，再喝一碗刚刚沏好的龙井茶
媒婆子柳银环，媒婆柳银环
又会说话又婉转，又会说话又婉转
哎呀老姐姐，哎呀老姐姐
大山妈，大山妈
妹妹为你办事只争早来不争晚，妹妹为你办事只争早不争晚
这几天，这几天
我茶不思来饭不想，我茶饭不思
脚没着地地四处转，脚不沾地地四处奔波
西村有个姑娘叫兰兰，西村有个姑娘叫兰兰
年满二十刚把高中书念完，年满二十刚念完高中
身材好长得俊，身材好长得俊
逢人说话叫人心头暖，逢人说话让人心头感到温暖
皮皮不让焦糊了，做事不让表面焦糊
瓤瓤不让夹生了，里面不让夹生
事事办的都很圆满，凡事都办得很圆满
老俩口听了媒婆的话，老两口听了媒婆的话
眉开眼笑心里点亮灯一盏，眉开眼笑心里像点亮了一盏灯
哎吆老妹子，哎呀老妹子
她婶子，她婶子
你人好心好路道宽，你人好心好路子宽
有劳您给窜一窜，有劳您给牵牵线
哪天相看相看会亲家，哪天相看相看会会亲家
为你奉上感谢红娘的酒一碗，为你奉上感谢红娘的一碗酒
柳婶子柳银环，柳婶子柳银环
从此就把个媒来管，从此就开始管这门亲事
牵线搭桥没费劲，牵线搭桥没费劲
花前月下撮合了大山和兰兰，花前月下撮合了姚大山和兰兰
男欢女爱交朋友，男欢女爱交上了朋友
转眼就把两年的恋爱谈，转眼间谈了两年的恋爱
老俩口赶着马车去把亲家看，老两口赶着马车去看亲家
口称亲家就把孩子的婚事攀，口称亲家就开始谈孩子的婚事
亲家母，亲家母
你好吧，你好吗
刘宝瑞述，刘宝瑞讲述
殷文硕整理，殷文硕整理
这场是单口相声，这场是单口相声
相声分很多种形式，相声分为多种形式
一个人说的叫单口相声，一个人表演的称为单口相声
大家经常见是俩人说的，大家常见的是两个人表演的
那叫对口相声，那称为对口相声
三、五个人的叫群口相声，三到五个人表演的称为群口相声
十几个人的，化妆相声，十几个人表演的是化妆相声
二、三十人的，那大概叫相声剧，二三十人表演的大概称为相声剧
四、五百人的，那是听相声，四五百人表演的，那大概是听相声
也没有四五百人一块儿说相声的，没有四五百人一起表演相声的
那成相声大合唱啦，那可就成了相声大合唱了
相声艺术表演上必须精练，相声艺术表演必须精炼
可话又说回来了，但话说回来
其他的艺术也得精练，其他艺术形式也需要精炼
您看，说书、唱戏，您看，说书和唱戏
要是不精练，如果不精炼
书也甭说了，书就不用说了
戏也甭演了，戏也不用演了
有这么句话嘛，有这么一句话
叫，叫
说书的嘴，说书的嘴
唱戏的腿，唱戏的腿
怎么讲呢，怎么理解呢
就是说，意思是
评书演员嘴快,评书演员说话快
戏曲演员腿快，戏曲演员动作快
说书的一说，说书人一讲
甭管这件事情多长时间，不管事情发生的时间有多久
他上嘴唇一碰下嘴唇就算行了，他只要上下嘴唇一碰就过去了
一拍醒木，“秋去东来”，一拍醒木，“秋去东来”
这四个字儿半年过去了，这四个字就表示半年时间过去了
说书的嘴快，说书人嘴快
唱戏的呢，唱戏的呢
腿就得快，动作就得快
您看京戏，您看京剧
甭管这地方离这儿几千里几万里，不管这个地方离这儿有多远
几个人在台上一绕弯儿，几个人在台上一绕一圈
就算到了，就表示到了
京戏里有一出戏叫《反云南》，京剧里有一出戏叫《反云南》
一员大将带着四个打旗儿的，一位大将带着四个举旗的
这员大将一传令，这位大将一下令
唢呐一吹，唢呐一吹
四个打旗儿的围着这台绕了一个弯儿，四个举旗的围着台绕了一圈
又回到原来站的那地方，又回到了原来站的位置
四个人不动了，四个人站着不动了
这员大将装模做样的还问哪，这位大将还装模作样地问
哎，这不是废话吗，哎，这不是废话吗
再行掉台下去啦，再走就掉下台了
哎，这就到啦，哎，这就到了
您瞧快不快，您看快不快
可也别说，也别说
也就得这么快，就得这么快
不这么快，这戏就没法唱了，不这么快，这戏就没法唱了
你说我们这演员演戏演得真实，你说我们演员演戏演得真实
你再演得真实，你再演得真实
也分演到什么地方，也得分演到什么地方
演到这个地方，演到这个地方
没法真实，没法真实
跟台上的大将一块儿唏哩呼噜都进后台啦，跟着台上的大将一起稀里哗啦都进后台了
把后台把行头一脱，把后台的行头一脱
行李卷儿一打，行李卷一打
奔火车站买票，奔火车站买票
上云南啦，上云南了
这么演倒是真实啦，这么演倒是真实了
可听戏的受得了吗，可是看戏的人受得了吗
坐了半天，不见人出来，坐了半天，不见人出来
正纳着闷儿呢，正纳闷呢
剧场服务员过来了，剧场服务员过来了
二位一想：问问他吧，两位一想：问问他吧
没散，没散
没散怎么半天不见人儿啊,没散怎么半天不见人啊
这服务员还给解释哪：这服务员还解释说
那看你们几位想听不想听了，那看你们几位想听不想听了
要是不想听就回家睡觉去，要是不想听就回家睡觉去
白吃猴儿，白吃猴
刘宝瑞述，刘宝瑞讲述
殷文硕整理，殷文硕整理
现在是新社会，现在是新社会
同志之间互相尊重互相帮助是真正的友谊，同志之间互相尊重互相帮助这是真正的友谊
在过去可不行，过去可不行
旧社会朋友之间是尔虞我诈勾心斗角，在旧社会朋友之间是互相欺骗勾心斗角
您得长住了眼，您得睁大了眼
弄不好就要吃亏上当，弄不好就要吃亏上当
有这样行为的人您不能跟他交，有这样行为的人不能跟他交
像什么，像什么
上电车往里挤，上电车往里挤
洗澡后穿衣服，洗澡后穿衣服
吃完饭含嗽口水，吃完饭含漱口水
哎，哎
这样儿的人，这样的人
您躲他远点儿，你离他远点
那位说了，那位说了
上电车不往里挤，上电车不往里挤
都堵到门口，都堵到门口
那怎么上下车呀，那怎么上下车呀
您听明白了，您听明白了
跟其他人不一样，跟其他人不一样
比方说吧，比方说吧
四个人一块儿外边玩儿去，四个人一块儿外边玩儿去
道儿远得坐电车呀，道儿远得坐电车呀
车一来呀，车一来呀
他头一个就挤上去了，他头一个就挤上去了
哪儿人多，哪儿人多
他往那儿钻，他往那儿钻
怎么，怎么
他在家专门练手儿功夫，他在家专门练手儿功夫
车上人多挤他都不怕，车上人多挤他都不怕
他拿这胳膊肘儿找人家那肋叉子，他拿这胳膊肘儿找人家那肋叉子
哎，哎
他跑车里边去了，他跑车里边去了
那三位没练过这功夫啊，那三位没练过这功夫啊
上来就站门口啦，上来就站门口啦
等车一开呀，等车一开呀
他在里边喊上啦，他在里边喊上啦
干么喊买四张呢，为什么喊买四张呢
他那意思，他那意思
是告诉门口那三位，是告诉门口那三位
买票的时候想着买四张，买票的时候想着买四张
还有我哪，还有我哪
嘿，嘿
您想，您想
车上那么些人，车上那么些人
卖票的过得去吗，卖票的过得去吗
好容易挤过去了，好容易挤过去了
车也到站啦，车也到站啦
再说门口这三位，再说门口这三位
也不能让他买呀，也不能让他买呀
哎，哎
人家买了，人家买了
他省下啦，他省下啦
洗澡后穿衣服，洗澡后穿衣服
过去那时候，过去那时候
不像现在先买票后洗澡，不像现在先买票后洗澡
那阵儿是先洗澡，那阵儿是先洗澡
出门儿的时候才要钱哪，出门儿的时候才要钱哪
他是脱得快，他是脱得快
穿得慢，穿得慢
怎么脱得快呀，怎么脱得快呀
他是进门就脱，他是进门就脱
脱了就洗，脱了就洗
不但洗，不但洗
而且是全活儿，而且是全活儿
剃头啊，剃头啊
搓澡啊，搓澡啊
修脚啊，修脚啊
全来，全来
等穿的时候可就慢了，等穿的时候可就慢了
人家那三位把衣服早穿好了，人家那三位把衣服早穿好了
他呀，他呀
且不着急哪，且不着急哪
一只袜子能穿半拉种头，一只袜子能穿半拉种头
好容易穿上啦，好容易穿上啦
又脱下来了，又脱下来了
怎么，怎么
他愣说穿错脚啦，他愣说穿错脚啦
哎，哎
袜子分左右脚吗，袜子分左右脚吗
澡塘子里多热呀，澡塘子里多热呀
这三位站那儿直出白毛汗哪，这三位站在那儿直冒汗
我非得霍乱不可，我着急死了
人家找谁要去呀，人家找谁要去呀
故此，故此
先出去的给钱，先出去的给钱
哎，他又省下啦，哎，他又省下啦
最可气的是，最可气的是
吃完饭含漱口水，吃完饭含漱口水
他是早不漱，他是早不漱
晚不漱，晚不漱
多咱伙计把账单儿往桌上一放，多咱伙计把账单儿往桌上一放
他漱上口啦，他漱上口啦
嘴里含着水冲这三位比画，嘴里含着水冲这三位比画
那意思，那意思
你呀，你呀
你别给，你别给
你也别给，你也别给
你也别给，你也别给
这不是废话嘛，这不是废话嘛
他是光比画，他是光比画
可不吐，可不吐
怎么，怎么
一吐，一吐
钱就没啦，钱就没啦
什么时候吐呢，什么时候吐呢
多会儿等人家把钱都给了，多会儿等人家把钱都给了
他才吐，他才吐
吐完了用毛巾一擦嘴，吐完了用毛巾一擦嘴
说了句话，说了句话
才可气哪，才可气哪
多新鲜哪，多罕见哪
你老漱口人家还不给，你老漱口人家还不给
要是人家也不给，要是人家也不给
吃完饭四个人都漱口，吃完饭四个人都漱口
全这模样，全这模样
让伙计一看，让伙计一看
这都是什么毛病啊，这都是什么毛病啊
人家给啦，人家给啦
他又白吃啦，他又白吃啦
他老这样啊，他老这样啊
久而久之，久而久之
大伙儿全明白了，大伙儿全明白了
噢，噢
得，躲着点儿吧，得，躲着点儿吧
你不是躲着他吗，你不是躲着他吗
他去找你，他去找你
